,answer,priority,attempts,correct_attempts,skip_for_x_rounds,consecutive_weight
David A. Bednar,In the Path of Their Duty,-25,10,8,0,7
Amy A. Wright,Abide the Day in Christ,-13,40,22,0,1
Robert M. Daines,"Sir, We Would Like to See Jesus",-25,10,8,0,7
Carlos A. Godoy,For the Sake of Your Posterity,-27,18,13,0,7
D. Todd Christofferson,The Sealing Power,-26,8,7,0,7
Ian S. Ardern,Love Thy Neighbour,-25,15,11,0,7
Dallin H. Oaks,Kingdoms of Glory,-27,9,8,0,7
Henry B. Eyring,The Sustaining...Area Seventies,-6,38,22,0,1
Neil L. Andersen,Tithing: Opening the Windows of Heaven,-10,38,22,1,-2
Jan E. Newman,Preserving the Voice of the Covenant People in,-30,30,19,0,7
